6.36,7.94,6.76,4.34,3.68,5.92,12.5,5.57,15.6,12.97
7,7.95,6.92,4.77,3.5,5.45,12.38,5.88,16.17,12.9
6.8,7.16,6.39,4.41,3.52,5.61,12.98,6.08,16.18,12.85
7.05,7.28,6.65,4.85,3.6,5.85,12.84,6.69,16.84,13.04
7.06,7.25,6.67,4.82,3.78,6.2,12.88,6.68,16.37,12.8
7.46,7.68,7.13,5.09,3.68,6.13,13.15,6.92,16.97,12.79
7.31,7.49,7.09,4.98,3.86,6.27,12.99,6.9,16.94,12.85
7.44,7.76,7.19,5,4.05,6.33,13.15,6.53,16.3,12.86
7.6,7.8,7.21,4.99,3.85,6.1,13.13,6.67,16.72,12.82
7.49,7.51,7.06,4.8,3.86,6.2,13.22,6.62,16.65,12.68
7.52,7.64,7.17,4.88,3.94,6.22,13.09,6.71,16.8,12.8
7.37,7.69,7.16,4.97,4.13,6.3,13,6.74,16.88,12.89
7.47,7.77,7.26,5.04,4.34,6.38,12.99,6.95,17.09,12.95
7.51,7.74,7.28,5.05,4.24,6.46,13.19,6.88,16.82,13.05
7.53,7.85,7.34,5.03,4.45,6.37,13.45,6.63,16.28,13.48
7.57,7.71,7.22,5,4.23,6.16,13.47,6.82,16.5,13.29
7.84,7.54,7.06,4.89,4.09,6.25,13.68,6.99,16.97,13.23
8.23,7.67,7.14,4.97,4.04,6.5,14,7.02,17.18,13.19
8.27,7.81,7.38,5.05,4.2,6.55,13.87,7.72,17.75,12.86
8.21,7.85,7.38,5.09,4.23,6.85,13.72,7.75,19.14,12.76
8.44,8.16,7.61,5.3,4.4,6.96,14.11,7.85,19.1,13.05
8.44,8.45,7.68,5.37,4.62,7.27,14,7.92,18.69,13
8.7,8.49,7.95,5.71,4.57,7.03,14.29,8.02,18.4,12.96
8.35,8.21,7.75,5.59,4.61,6.88,13.81,8.09,19.28,12.84
8.11,8.04,7.75,5.43,4.43,7.17,13.89,7.67,18.23,13.08
8.46,8.32,7.89,5.59,4.22,6.84,14.01,7.75,18.37,13.19
8.01,7.98,7.6,5.32,4.21,6.86,13.99,7.95,18.84,13
8.29,8.13,7.62,5.34,4.35,7.11,13.96,8.17,19.3,12.95
